"CellMajor","CellMin1"
"B cells","B_C10_LOMO2"
"B cells","B_C11_MZB1_PC"
"B cells","B_C1_CRIP1"
"B cells","B_C2_IGHM_Bn"
"B cells","B_C3_HSPA1A"
"B cells","B_C4_FCRL1"
"B cells","B_C5_IFIT3"
"B cells","B_C6_ZZF331"
"B cells","B_C7_MKI67"
"B cells","B_C8_BACH2"
"B cells","B_C9_IGLL5"
"Endothelial cells","EC_C10_COL1A2"
"Endothelial cells","EC_C11_RROX1"
"Endothelial cells","EC_C12_FCN3"
"Endothelial cells","EC_C13_MKI67"
"Endothelial cells","EC_C1_IGFBP7"
"Endothelial cells","EC_C2_GJA5"
"Endothelial cells","EC_C3_HSPA1A"
"Endothelial cells","EC_C4_FLT1"
"Endothelial cells","EC_C5_ROBO2"
"Endothelial cells","EC_C6_ACKR1"
"Endothelial cells","EC_C7_IL6"
"Endothelial cells","EC_C8_IL32"
"Endothelial cells","EC_C9_CXCR4"
"Epithelial cells","Epithelial"
"Mast cells","Mast"
"Mesenchymal cells","F_C1_MMP11"
"Mesenchymal cells","F_C2_MIF"
"Mesenchymal cells","F_C3_CXCL12"
"Mesenchymal cells","F_C4_IGF1"
"Mesenchymal cells","F_C5_SPP1"
"Mesenchymal cells","F_C6_COL2A1"
"Mesenchymal cells","F_C7_MKI67"
"Mesenchymal cells","F_C8_PLA2G2A"
"Mesenchymal cells","Per_C1_RGS5"
"Mesenchymal cells","Per_C2_MYH11"
"Myeloid cells","M_C10_MKI67_Macro"
"Myeloid cells","M_C11_MT1G_Macro"
"Myeloid cells","M_C12_HSPA1A_Macro"
"Myeloid cells","M_C13_MMP9_Macro"
"Myeloid cells","M_C14_CD1C_cDC"
"Myeloid cells","M_C15_LAMP3_cDC"
"Myeloid cells","M_C16_LILRA4_pDC"
"Myeloid cells","M_C17_S100A8_Neutro"
"Myeloid cells","M_C18_ISG15_Neutro"
"Myeloid cells","M_C19_AZU1_Neutro"
"Myeloid cells","M_C1_IL1B_Mono"
"Myeloid cells","M_C20_CXCL8_Neutro"
"Myeloid cells","M_C2_S100A8_Mono"
"Myeloid cells","M_C3_FCGR3A_Mono"
"Myeloid cells","M_C4_VCAN_Mono"
"Myeloid cells","M_C5_CCL3_C1QA_Macro"
"Myeloid cells","M_C6_SPP1_Macro"
"Myeloid cells","M_C7_TREM2_Macro"
"Myeloid cells","M_C8_BMP2K_Macro"
"Myeloid cells","M_C9_ISG15_Macro"
"Plasma cells","PC_C1_TXNDC5"
"Plasma cells","PC_C2_GMDS"
"Plasma cells","PC_C3_IGHGP"
"Plasma cells","PC_C4_CD79A"
"Plasma cells","PC_C5_HSPA1A"
"Plasma cells","PC_C6_SELK"
"Plasma cells","PC_C7_HLA-DRA"
"Plasma cells","PC_C8_IGHG"
"Plasma cells","PC_C9_IGHA"
"T and NK cells","CD4T_C1_CCR7_Tn"
"T and NK cells","CD4T_C2_FOXP3_Treg"
"T and NK cells","CD4T_C3_BACH2"
"T and NK cells","CD4T_C4_CXCL13"
"T and NK cells","CD4T_C5_TOX"
"T and NK cells","CD4T_C6_ISG15"
"T and NK cells","CD8T_C1_HSPA1A"
"T and NK cells","CD8T_C2_GZMK"
"T and NK cells","CD8T_C3_PDCD1"
"T and NK cells","CD8T_C4_XCL1"
"T and NK cells","CD8T_C5_ISG15"
"T and NK cells","CD8T_C6_TOX"
"T and NK cells","CD8T_C7_MKI67"
"T and NK cells","NK_C1_FCGR3A"
"T and NK cells","NK_C2_XCL1"
"T and NK cells","NK_C3_HSPA1A"
"T and NK cells","NK_C4_CX3CR1"
"T and NK cells","NK_C5_KLRC2"
"T and NK cells","NK_C6_NFKB1A"
"T and NK cells","NK_C7_ISG15"
"T and NK cells","NK_C8_CREM"
